编号,分类,机制/机关,适用类型,运作规则,角色性能依赖,依赖能力或参数,玩家操作或协作要求,典型出处,设计分析,合并来源,原文参考链接,出处说明
LM-068,谜题与信息机关,局部时间暂停与减速,解谜；动作冒险；平台解谜,改变场景对象的时间速度，使运动机关出现可通行窗口。,是,时间操纵能力或机关；持续时间与作用范围,协调自身移动和环境时序,《Braid》；《耻辱》,应明确哪些对象受影响；如果只作用于战斗敌人，则不属于本表范围。,关卡机制2.md #83 时间暂停；关卡机制2.md #85 时间快进/慢放；关卡机制2.md #151 时间停止,,原文《SUPERHOT》及《马里奥银河2》的描述不足以证明所有时间操纵变体，具体实例待核实。
LM-069,谜题与信息机关,时间回溯对象谜题,解谜；动作冒险；平台解谜,回退关卡中对象或角色状态，并利用回溯例外重新组合结果。,是,回溯能力；对象是否随时间回退,比较前后状态并组织操作顺序,《Braid》,能否回溯应保持一致；例外对象需明显标识，让失败成为可利用的信息。,关卡机制2.md #84 时间回溯,,
LM-070,谜题与信息机关,平行空间与世界状态切换,解谜；动作冒险；平台解谜,同一位置对应不同结构，通过切换世界绕过障碍或获取线索。,条件依赖,切换装置或能力；可切换区域,建立两套空间的对应关系,《寂静岭》；《瑞奇与叮当：时空跳转》,玩家需要辨认哪些结构保持不变；切换后落脚安全与返回条件应可预测。,关卡机制2.md #86 镜像空间；关卡机制2.md #87 平行世界切换,,镜像、异世界与维度切换并非同一实现；按对应空间状态整理。
LM-071,谜题与信息机关,视角旋转与投影通路,解谜；动作冒险；平台解谜,改变视角后，原本分离的结构在游戏规则下变为可连接路径。,无,视角或场景旋转输入,比较多个投影下的空间关系,《FEZ》；《纪念碑谷》,必须明确视觉对齐何时影响实际通行；保持少量稳定参照物帮助定位。,关卡机制2.md #88 空间旋转；关卡机制1.md 视错觉,,
LM-072,谜题与信息机关,推箱与格点占位,解谜；动作冒险；平台解谜,推动箱子到目标格，箱子会阻挡后续通路并限制移动。,无,推拉规则；格点占用,预判箱子最终位置和可回退性,《推箱子》；《塞尔达传说》,难点来自空间约束与不可逆操作；撤销或重置能减少非思考性返工。,关卡机制2.md #90 推箱；关卡机制1.md 推箱子,,
LM-073,谜题与信息机关,颜色、图案与符号匹配,解谜；动作冒险；平台解谜,按环境提供的符号关系匹配对象或设置机关。,无,基本交互；图案辨识支持,归纳匹配规则并执行,《见证者》；《生化危机》,颜色最好有形状等辅助编码；规则应从场景线索获得，而非任意猜测。,关卡机制2.md #91 颜色匹配；关卡机制2.md #92 图案匹配,,原文《Portal 2》颜色匹配例子不具体，未采用。
LM-074,谜题与信息机关,声音与音序机关,解谜；动作冒险；平台解谜,通过声音方向、音高或音序找到目标并完成输入。,条件依赖,聆听或演奏交互；无需运动能力,辨音、定位或记忆音序,《塞尔达传说》,声音反馈要避免与环境噪声混淆；可提供等价视觉提示以支持无声游玩。,关卡机制2.md #93 声音机关,,
LM-075,谜题与信息机关,节奏同步机关,解谜；动作冒险；平台解谜,平台、障碍或输入判定随节拍周期变化。,是,动作启动时间；跳跃或交互响应,识别节拍并在窗口内行动,《Hi-Fi Rush》,应同时提供声音和视觉节拍；宽松教学窗口再逐渐叠加移动要求。,关卡机制2.md #94 节奏机关,,
LM-076,谜题与信息机关,观察、密码与环境线索,解谜；动作冒险；平台解谜,从场景细节获得密码或操作规则，再作用于具体装置。,无,基本观察和交互,搜集证据并解释线索,《见证者》；《生化危机》；密室逃脱类,线索和谜题要建立可解释联系；跨房间记忆过多时需要记录或回看支持。,关卡机制2.md #96 观察答案；关卡机制2.md #97 环境线索；关卡机制1.md 密码/线索推理,,
LM-077,谜题与信息机关,知识门槛通路,解谜；动作冒险；平台解谜,路线一直存在，但玩家理解环境规律后才知道如何进入或通过。,条件依赖,具体通路可能有基础移动要求；关键门槛为知识,观察周期、验证假设并迁移规律,《星际拓荒》,教学应让玩家亲自发现规律；复玩能跳过学习过程是此类机制的自然结果。,关卡机制2.md #97 环境线索,,
LM-078,谜题与信息机关,机关联锁与状态依赖,解谜；动作冒险；平台解谜,多个装置的输出成为其他装置的输入，逐步达成最终通行条件。,条件依赖,组成机关各自的能力要求,追踪依赖关系并安排先后顺序,《Portal 2》,复杂度来自相互制约而非单纯增加开关数量；需可追踪、可复位。,关卡机制2.md #98 机关联锁,,
LM-079,谜题与信息机关,杠杆、浮力与物理平衡,解谜；动作冒险；平台解谜,改变重量、支点、浮力或绳索状态，移动目标或形成通路。,条件依赖,物件操纵方式；质量、冲量与浮力规则,预测物理结果并调整布局,《割绳子》；《愤怒的小鸟》；《塞尔达传说》,保留直观反馈并压低随机误差；题目应考规则理解，而非反复赌物理结果。,关卡机制1.md 物理规则谜题,,
LM-080,谜题与信息机关,元素激活装置,解谜；动作冒险；平台解谜,以指定元素作用于可识别的机关，切换装置或开放通路。,是,火、雷等元素能力或可用场景元素源,识别元素标记并选择对应手段,《原神》,需明确限定角色能力还是允许借用环境；多解成立时应保持规则一致。,关卡机制1.md 元素激活,,
LM-081,陷阱与动态危险区,尖刺与接触伤害面,动作；平台跳跃；冒险；恐怖,触碰指定表面受到伤害或死亡，限制可站立范围。,是,碰撞尺寸；跳跃、冲刺与受伤规则,判断安全间距和落点,《Celeste》；《空洞骑士》,危险视觉应贴合实际碰撞；窄缝不能只按角色美术轮廓估算。,关卡机制1.md 尖刺陷阱,,原文仅称多数平台游戏；此处例子为两文中已列出的平台作品，具体场景未外部核验。
LM-082,陷阱与动态危险区,周期喷火与电流区,动作；平台跳跃；冒险；恐怖,危险按周期启停，停机间隔形成通过窗口。,是,移动速度；起跳或躲避耗时,观察完整周期后穿越,《恶魔城》；《死亡空间》,给出启停预警，并按最慢合法移动方式检查窗口；多区域相位不能形成无解夹击。,关卡机制2.md #55 电流禁区；关卡机制1.md 喷射火焰,,
LM-083,陷阱与动态危险区,落石与压砸机关,动作；平台跳跃；冒险；恐怖,触发后重物落下或压合，威胁指定范围。,是,移动速度；反应前摇；角色碰撞,读懂预警并离开落点,《古墓丽影》；《印第安纳琼斯》,影子、声音或震动应先于命中；初次出现需要可反应，而非必须背板。,关卡机制1.md 落石/砸扁,,原文《印第安纳琼斯》未指定作品版本。
LM-084,陷阱与动态危险区,摆锤与摆刀,动作；平台跳跃；冒险；恐怖,伤害物沿固定弧线摆动，周期性封锁通道。,是,通行速度；碰撞尺寸；摆动周期,判断摆幅并选择穿过时机,《恶魔城》；《黑暗之魂》,安全站位和扫掠边界要清晰；多摆锤组合需要检查连续通过的节奏。,关卡机制1.md 钟摆/摆动陷阱,,
LM-085,陷阱与动态危险区,旋转刀刃与移动锯轮,动作；平台跳跃；冒险；恐怖,伤害区域持续旋转或沿轨道移动，压缩可用落脚空间。,是,跳跃轨迹；移动速度；伤害碰撞,预测扫掠范围并调整路线,《空洞骑士》；《铲子骑士》,需要同时检查轨迹和相位；快速物体应避免因画面采样而难以判断。,关卡机制1.md 旋转刀刃/齿轮,,
LM-086,陷阱与动态危险区,伤害激光与扫描射线,动作；平台跳跃；冒险；恐怖,光束固定、脉冲或扫掠，触碰时造成伤害。,是,角色碰撞尺寸；躲避和跳跃能力,判断扫描方向与间隙,《洛克人》；《死亡细胞》,伤害判定应与可见光束一致；区分伤害激光、解谜光束和报警线。,关卡机制1.md 激光/射线,,
LM-087,陷阱与动态危险区,悬崖与坠落区,动作；平台跳跃；冒险；恐怖,缺少支撑的边缘产生坠落风险，并可影响敌我站位。,是,移动惯性；跳跃；击退与坠落规则,保持边缘距离并规划回避方向,《黑暗之魂》；《艾尔登法环》,边缘风险来自场地；不把角色击退技能单列为机制，需检查镜头能否看清落差。,关卡机制2.md #101 悬崖；关卡机制2.md #274 一击即死区；关卡机制2.md #275 即死坠落,,
LM-088,陷阱与动态危险区,周期性安全区,动作；平台跳跃；冒险；恐怖,环境危险轮换覆盖场地，玩家需在不同安全区域间转移。,是,移动速度；危险预警时间；区域间距,识别下一安全点并及时迁移,原文仅称Boss类游戏，未给具体作品,关注安全点的可达性和迁移时间；若危险仅是敌人普通招式，则不归入本条。,关卡机制2.md #276 周期性安全区,,出处不足，具体游戏与场景待核实。
LM-089,陷阱与动态危险区,追逐与逃生路线,动作；平台跳跃；冒险；恐怖,触发追击后沿路线逃生，途中通过门、障碍和临时安全点。,是,奔跑速度；耐力；翻越和交互耗时,快速读路并连续完成通行操作,《逃生》；《生化危机》,路线提示必须适配高速视野；威胁距离应给必要的开门、转向和纠错时间。,关卡机制2.md #230 追逐；关卡机制1.md 追逐战,,
LM-090,战斗空间与遭遇规则,高低差与多层战场,动作；FPS；TPS；战术射击,不同高度的可站立区域改变视线、进攻角和转移路线。,条件依赖,攀爬或跳跃；攻击射程；垂直瞄准范围,判断上下层威胁并选择转移点,《只狼》；《守望先锋》；《Apex Legends》,高度优势需要有暴露、入口或距离代价；各层应有可理解的连接关系。,关卡机制2.md #99 高低差；关卡机制2.md #100 战斗平台；关卡机制2.md #108 多层战斗场；关卡机制2.md #182 跳跃射击平台；关卡机制1.md 高低差地形,,
LM-091,战斗空间与遭遇规则,掩体与半掩体,动作；FPS；TPS；战术射击,实体障碍遮挡部分火力，姿态或位置变化决定暴露范围。,条件依赖,站蹲高度；贴靠规则；弹道与穿透,选择掩护角度和探身时机,《战争机器》；《神秘海域》；《最后生还者》,掩体必须按实际射线和角色姿态校验；美术高度不能代替命中测试。,关卡机制2.md #102 掩体；关卡机制2.md #103 半掩体；关卡机制1.md 掩体系统,,
LM-092,战斗空间与遭遇规则,可破坏掩体,动作；FPS；TPS；战术射击,承受伤害后遮挡能力下降或消失，迫使双方重新选位。,条件依赖,武器破坏能力；掩体耐久；穿透规则,判断掩体寿命并保留转移路线,《战地》；《彩虹六号：围攻》,破坏阶段应有反馈；避免唯一安全掩体消失后出现不可应对的火力覆盖。,关卡机制2.md #104 可破坏掩体；关卡机制1.md 可破坏掩体,,
LM-093,战斗空间与遭遇规则,狭口、坡口与瓶颈,动作；FPS；TPS；战术射击,通道断面限制同时通过或展开的数量，收束交战方向。,条件依赖,角色或单位尺寸；射程；拥堵规则,选择卡口、绕行或突破时机,《DOOM》；《星际争霸》,瓶颈应有明确用途；过少侧路会形成单一堵门解法。,关卡机制2.md #105 狭窄 choke point；关卡机制2.md #196 坡道；关卡机制2.md #197 Choke Point；关卡机制2.md #205 狭路,,
LM-094,战斗空间与遭遇规则,开阔场地与环绕路线,动作；FPS；TPS；战术射击,开放区域或围绕中心的通路提供横移、绕行和连续移动空间。,是,移动与闪避距离；攻击覆盖范围,维持间距并调整绕行方向,《怪物猎人》；《黑暗之魂》,保留场地结构，不纳入Boss招式；尺寸需按实际攻击范围和角色机动性校验。,关卡机制2.md #106 开阔战斗场；关卡机制2.md #107 环形战斗场,,
LM-095,战斗空间与遭遇规则,掩体链与撤退通路,动作；FPS；TPS；战术射击,多个安全节点连接成推进、补给或脱离交火的路线。,是,冲刺速度；节点间暴露时间；补给交互耗时,在推进和撤退之间选择,《战争机器》；《全境封锁》；《DOOM Eternal》,安全节点间距决定暴露成本；回退不能被单个触发器无提示永久封死。,关卡机制2.md #109 战斗逃生路线；关卡机制2.md #181 掩体链,,
LM-096,战斗空间与遭遇规则,可翻越障碍,动作；FPS；TPS；战术射击,低墙或障碍阻挡普通行走，但允许翻越改变交战位置。,是,翻越高度；动作时长；落地空间,权衡翻越后的暴露风险,《神秘海域》,动作锁定时间与敌方火力需要匹配；障碍两侧都要留够动作碰撞空间。,关卡机制2.md #110 可跳越障碍,,
LM-097,战斗空间与遭遇规则,移动载体战场,动作；FPS；TPS；战术射击,在电梯等移动平台上持续交战，场外环境或入口随运动变化。,是,移动空间；站立附着；击退与坠落规则,应对有限场地及变化的来敌方向,《DOOM》；《鬼泣》,移动应改变遭遇条件；需避免敌人、掉落物和玩家脱离载体后卡住流程。,关卡机制2.md #111 战斗电梯,,
LM-098,战斗空间与遭遇规则,清场封锁与战斗房,动作；FPS；TPS；战术射击,进入后封锁出口，满足清场或目标条件再开放。,条件依赖,关卡目标对应的战斗和交互能力,完成目标并确认剩余条件,《DOOM》；《命运》；《Hades》,应明确解除封锁的条件；需处理敌人卡位、目标越界和最后一只敌人难找。,关卡机制2.md #112 战斗封锁门；关卡机制2.md #257 战斗房,,
LM-099,战斗空间与遭遇规则,增援入口与遭遇波次,动作；FPS；TPS；战术射击,通过固定入口、触发区域或目标阶段投入敌人，改变空间压力。,条件依赖,与遭遇匹配的战斗能力；无独立移动技能门槛,判断入口和安全区变化,《求生之路》；《DOOM》；《使命召唤》,保留关卡的出入口和触发规则；增援应有空间来源，避免在已确认安全的贴身位置凭空出现。,关卡机制2.md #113 敌人刷新点；关卡机制2.md #114 敌人增援；关卡机制2.md #278 小怪阶段,,小怪阶段仅提取场地增援规则；不保留Boss阶段行为。
LM-100,战斗空间与遭遇规则,侧翼、绕后与多入口,动作；FPS；TPS；战术射击,替代路线连接敌侧、后方或多个基地入口，分散防守方向。,条件依赖,路线要求的移动能力；行程与暴露时间,权衡绕行成本和进攻角度,《半条命》；《Halo》；《杀手》；《星际争霸》,侧路需要独立代价和信息收益；所有路线等价会使空间选择失去意义。,关卡机制2.md #115 侧翼路线；关卡机制2.md #116 绕后路线；关卡机制2.md #206 多入口基地,,
LM-101,战斗空间与遭遇规则,狙击位与射击窗口,动作；FPS；TPS；战术射击,高位或狭小开口提供受限制但有价值的火力线。,条件依赖,射程；瞄准能力；站蹲高度,利用射界并监控侧后入口,《Halo》；《孤岛惊魂》,优势射界应伴随暴露或可接近路线；开口宽度须用实际瞄准和碰撞验证。,关卡机制2.md #117 高地狙击位；关卡机制2.md #183 狙击窗口；关卡机制1.md 窗口/射击孔,,
LM-102,战斗空间与遭遇规则,遮挡物与火力盲区,动作；FPS；TPS；战术射击,墙角、门和实体障碍中断视线或射线，形成局部安全空间。,条件依赖,碰撞与视线高度；武器穿透规则,读取遮挡边界并换位,《战争机器》；《Halo》；《彩虹六号：围攻》,视线遮挡不等于弹道安全；材质与穿透反馈应帮助玩家区分两者。,关卡机制2.md #118 火力盲区；关卡机制2.md #119 视觉切断；关卡机制2.md #135 视觉死角,,
LM-103,战斗空间与遭遇规则,可开洞墙体、门板与地板,动作；FPS；TPS；战术射击,破坏局部结构，新增水平或垂直视线及射击线路。,是,破坏工具；墙体材质；弹道与穿透规则,选择开孔位置并评估双方收益,《彩虹六号：围攻》,小孔可能同时暴露操作者；需考虑上下层的反制路线和承重结构边界。,关卡机制2.md #189 门射击；关卡机制2.md #190 墙体开洞；关卡机制2.md #191 可破坏地板,,
LM-104,战斗空间与遭遇规则,可变战场边界,动作；FPS；TPS；战术射击,机关或场景阶段使场地缩小、扩展，或开放新区域。,是,移动速度；可达路线；变化前的预警时间,提前选择新的落脚和周转空间,原文以魂类及Boss游戏概括，未给具体场景,仅保留实际几何或可通行范围变化；需保证变化后存在可行的应对空间。,关卡机制2.md #268 阶段转换；关卡机制2.md #272 Arena 缩小；关卡机制2.md #273 Arena 扩张,,出处需具体关卡核实；阶段转换本身不保留。
LM-105,战斗空间与遭遇规则,场景杀伤装置,动作；FPS；TPS；战术射击,操作场内陷阱或装置，影响敌人或改变交战条件。,条件依赖,装置交互条件；可能需要指定工具,引导目标进入作用范围并触发,《战神》；《塞尔达传说》,操作、诱导和结果应形成清楚因果；删除Boss弱点属性，仅保留环境装置的作用。,关卡机制2.md #271 环境弱点；关卡机制2.md #279 环境机关 Boss,,原文未给装置名称与具体战斗场景，待核实。
LM-106,潜行与信息空间,巡逻与观察窗口,潜行；恐怖；战术射击,岗哨位置及巡逻路径使通路在不同时刻暴露或安全。,条件依赖,移动速度；潜行速度；检测距离,观察巡逻并选择通过窗口,《合金装备》；《杀手》,将视锥和巡逻合并为具体通路约束；应有观察位置，避免开门即被不可见岗哨发现。,关卡机制2.md #121 敌人视锥；关卡机制2.md #134 巡逻路线,,
LM-107,潜行与信息空间,明暗潜行区域,潜行；恐怖；战术射击,环境照度影响被发现程度，熄灯或换位可改变安全通路。,条件依赖,明暗检测规则；可选熄灯工具,选择阴影路线并控制暴露时长,《细胞分裂》,阴影必须与检测结果一致；装饰性暗处不能让玩家误判为隐蔽。,关卡机制2.md #122 光照隐身,,
LM-108,潜行与信息空间,噪声地面与空间声学,潜行；恐怖；战术射击,脚步材质、隔墙和距离影响声音传播，使路线具有不同暴露成本。,条件依赖,潜行速度；脚步噪声；声音遮挡规则,选择安静路面并判断隔墙动静,《合金装备》；《彩虹六号》；《异形：隔离》,只保留声音与场景的关联；需让可见材质、门状态与传播规则保持一致。,关卡机制2.md #123 声音传播；关卡机制2.md #192 声音传播；关卡机制2.md #232 敌人听觉,,
LM-109,潜行与信息空间,可触发声源与诱导装置,潜行；恐怖；战术射击,场景声源被操作后吸引注意或给出目标方向，改变通过机会。,条件依赖,声源交互或远程触发能力,选择触发位置、时机和通过路线,《杀手》；《耻辱》,保留场景装置；投掷技能本身不单列，诱导结果应可观察且有持续时间。,关卡机制2.md #124 噪声制造；关卡机制2.md #238 声音诱导,,原文声音诱导未给具体场景，沿用噪声制造相关作品示例。
LM-110,潜行与信息空间,藏身柜与隐蔽容器,潜行；恐怖；战术射击,进入柜体等预设空间躲避搜索，或存放会触发发现的物体。,条件依赖,进入或搬运交互；藏身检测规则,权衡进入时机、视野损失和退出风险,《逃生》；《杀手》；《耻辱》,藏身处不能自动等于绝对安全；搜索及退出规则应一致且能被玩家理解。,关卡机制2.md #125 尸体隐藏；关卡机制2.md #233 躲藏柜,,保留藏身与藏匿的场景容器；搬尸动作本身不单列。
LM-111,潜行与信息空间,摄像头与监控覆盖,潜行；恐怖；战术射击,固定或转动摄像头监测区域，可绕过、关闭或破坏。,条件依赖,监控关闭权限或破坏工具；也可无工具绕行,识别覆盖区和转动周期,《合金装备》；《看门狗》,摄像头的视野和警报去向应清楚；可关闭与仅可破坏的设备需区分。,关卡机制2.md #129 摄像头,,
LM-112,潜行与信息空间,激光绊线与报警门禁,潜行；恐怖；战术射击,跨越指定检测线或区域触发警报，可关闭或绕过。,条件依赖,跳跃、蹲伏或拆除能力；检测体积,识别安全间隙和关闭装置,《合金装备》,报警线应与伤害光束有不同语言；薄线判定也要考虑完整角色碰撞。,关卡机制2.md #130 激光报警器,,
LM-113,潜行与信息空间,区域警报与封锁状态,潜行；恐怖；战术射击,触发警报后改变门禁、增援入口或区域通行条件，可通过装置解除。,条件依赖,解除警报的交互条件；警戒状态,选择撤离路线或关闭警报,《合金装备》；《杀手》,保留关卡级状态变化；敌人搜索与记忆不单列，状态升级应有可理解反馈。,关卡机制2.md #131 警报系统,,
LM-114,潜行与信息空间,动态遮蔽与烟幕区域,潜行；恐怖；战术射击,临时遮蔽区中断观察，短时间改变信息和通过路线。,条件依赖,场景烟源或烟幕工具；持续时间,在遮蔽结束前通过并防备反向接近,《战地》；《彩虹六号：围攻》,仅作为空间遮蔽规则保留；烟雾遮视但不一定挡弹，需避免错误安全预期。,关卡机制2.md #119 视觉切断；关卡机制2.md #187 烟雾；关卡机制2.md #188 烟雾穿越,,
LM-115,潜行与信息空间,回访后的路线变化,潜行；恐怖；战术射击,触发事件后改变熟悉区域的门、墙或可通行连接。,无,事件与场景状态,重新核对空间记忆和出口,原文仅称恐怖游戏，未给具体作品,变化应有可辨别的新线索；避免只靠打乱方向让玩家无目标兜圈。,关卡机制2.md #236 路线变化,,原文例子不足，待核实；纯回头惊吓与灯光演出不纳入。
LM-116,资源节点与关卡目标,资源补给点与稀缺路线,跨类型；生存恐怖；开放世界；Roguelite,弹药、治疗或其他补给分布在不同风险节点，影响探索和撤退。,条件依赖,携带上限；消耗速度；补给使用耗时,估算路线成本并选择补给顺序,《生化危机》；《DOOM》；《黑暗之魂》,保留资源的空间分布；物品治疗数值和经济循环本身不列为关卡机制。,关卡机制2.md #157 弹药不足；关卡机制2.md #158 血包稀缺；关卡机制2.md #159 治疗资源；关卡机制2.md #166 资源回收,,
LM-117,资源节点与关卡目标,照明补给与光源间隔,跨类型；生存恐怖；开放世界；Roguelite,有限照明资源与可补充节点决定黑暗路线的探索半径。,条件依赖,光源持续时间；照明范围；移动速度,规划补充、折返与搜索顺序,《黑暗之魂》；《逃生》,资源压力要与路程相匹配；关键线索不应在电量耗尽后永久不可辨认。,关卡机制2.md #160 火把数量；关卡机制2.md #228 手电电量；关卡机制1.md 黑暗/视野限制,,原文《黑暗之魂》火把数量未给版本；不沿用数量普遍受限的说法。
LM-118,资源节点与关卡目标,氧气限制与换气节点,跨类型；生存恐怖；开放世界；Roguelite,水下或缺氧路线受供氧时长限制，气源节点延长可探索范围。,是,氧气容量；耗氧速度；游速或移动速度,计算往返距离并寻找下一气源,《深海迷航》,要把回程纳入安全预算；气源位置应支持逐步深入，避免初见就被迫盲赌。,关卡机制2.md #161 氧气,,原文《密特罗德》氧气说法未明确版本，未采用。
LM-119,资源节点与关卡目标,载具补能与运输路网,跨类型；生存恐怖；开放世界；Roguelite,能源消耗和充电节点限制可行运输路线，路面与负重进一步影响成本。,是,车辆电量或燃料；续航；载重；地形适应性,安排补能顺序和绕行路线,《死亡搁浅》；《死亡搁浅2》,保留补能节点和地形的空间关系；车辆属性本身不列为独立机关。,关卡机制2.md #163 车辆燃料；关卡机制2.md #164 装备重量,,原文车辆燃料表述泛化；应按具体载具区分电量和燃料。
LM-120,资源节点与关卡目标,安全室与恢复节点,跨类型；生存恐怖；开放世界；Roguelite,特定地点提供相对安全、整理物资或恢复状态的机会。,无,进入条件；场景内安全规则,在继续探索和返回整备之间选择,《生化危机》；《黑暗之魂》,间距控制一次探索的压力长度；是否绝对安全须由具体作品规则决定。,关卡机制2.md #168 安全区；关卡机制2.md #229 安全室；关卡机制2.md #261 恢复房,,
LM-121,资源节点与关卡目标,检查点与重生节点,跨类型；生存恐怖；开放世界；Roguelite,在指定地点记录进度或重生位置，定义失败后的重试起点。,无,激活与保存条件,选择推进节奏并识别激活状态,跨类型常见；原文未限定作品,检查点到挑战的距离决定失败成本；应避免存入无资源或立即必死的状态。,关卡机制1.md 检查点/存档点,,
LM-122,资源节点与关卡目标,休息点与区域重置,跨类型；生存恐怖；开放世界；Roguelite,在特定节点休息后恢复资源，同时重置部分区域敌人或状态。,无,休息触发与重置白名单,比较恢复收益与回程遭遇成本,《黑暗之魂》系列,重置范围要一致且可预测；原文所有敌人都会重置的说法应修正。,关卡机制1.md 重置机制（坐火）,,通常为可重生的普通敌人；Boss及部分特殊对象并非全部重置。
LM-123,资源节点与关卡目标,奖励容器与可破坏藏物,跨类型；生存恐怖；开放世界；Roguelite,宝箱或可破坏容器把奖励放入可搜索、可交互的场景目标。,条件依赖,开箱、攻击或指定工具,识别可交互物并判断探索价值,原文仅称几乎所有游戏,容器语言要稳定；过多无价值容器会把探索变成机械逐个检查。,关卡机制2.md #259 宝箱房；关卡机制1.md 宝箱/可破坏物,,原文未给可直接对应的具体作品，待补。
LM-124,资源节点与关卡目标,限时通行与目标挑战,跨类型；生存恐怖；开放世界；Roguelite,在时限内抵达、收集或操作指定目标，成功后开放路线或奖励。,是,移动和交互效率；具体目标能力,规划顺序并减少无效折返,《原神》；《超级马里奥》,不同目标应显示剩余进度；重试流程需短，时限应基于可复现的实际路径。,关卡机制2.md #264 限时房；关卡机制1.md 计时挑战,,
LM-125,资源节点与关卡目标,风险奖励分支,跨类型；生存恐怖；开放世界；Roguelite,分支入口提示挑战或收益差异，由玩家选择后续路线。,条件依赖,各分支自身的战斗、移动或资源门槛,比较收益与当前状态,《Hades》；《陷阵之志》,入口信息决定选择是否有意义；风险提示应帮助玩家判断，而非泄露全部内容。,关卡机制2.md #258 精英房；关卡机制2.md #262 分支路线；关卡机制1.md 分支关卡,,
LM-126,资源节点与关卡目标,商店与交换节点,跨类型；生存恐怖；开放世界；Roguelite,在特定地点用资源交换补给，改变后续路线的可承受成本。,无,可用货币或交换资源,决定消费时机与后续路线,原文仅称Roguelike，未指定作品,保留商店作为路径节点；定价、掉落与成长系统不扩展为独立条目。,关卡机制2.md #260 商店房,,具体作品及场景待核实。
LM-127,资源节点与关卡目标,诅咒与代价房间,跨类型；生存恐怖；开放世界；Roguelite,进入、离开或领取奖励附带房间级代价，由玩家主动决定是否承担。,条件依赖,房间代价规则；当前资源和规避能力,比较收益与进入或退出成本,原文仅称Roguelike，未指定作品,进入前应能识别代价种类；不要把常驻角色负面属性本身列为关卡机制。,关卡机制2.md #265 诅咒房,,具体作品及代价规则待核实。
LM-128,资源节点与关卡目标,阵营重生点与动态出生区,跨类型；生存恐怖；开放世界；Roguelite,地图节点决定队伍重新进入战场的位置，部分规则随区域控制变化。,无,队伍状态；出生点选择规则,控制出口并选择返回前线的路线,《使命召唤》；FPS类,出生点应有缓冲和多个出口；动态选择需避免视线内复活和持续堵出生点。,关卡机制2.md #193 复活点；关卡机制2.md #194 动态重生点,,原文未给具体动态重生算法，不作算法推断。
LM-129,多人合作机关,多人同步机关,合作解谜；合作动作；合作生存,需要多个玩家同时站位或输入，才能使门或装置生效。,条件依赖,人数；移动速度；触发容差,沟通倒数并保持同步,《双人成行》,容差要覆盖联机延迟和沟通误差；同步成功应让每名参与者都获得反馈。,关卡机制2.md #169 双人同时踩板,,
LM-130,多人合作机关,一人维持、一人通过,合作解谜；合作动作；合作生存,一名玩家持续操纵机关，为另一人暂时保持安全通路。,条件依赖,持续交互；通过者所需移动能力,交换角色并安排维持时长,《Portal 2》合作模式,两侧玩家都应有任务；需处理维持者最后如何通过，防止永久留人。,关卡机制2.md #170 一人开门、一人通过,,
LM-131,多人合作机关,多人共同搬运,合作解谜；合作动作；合作生存,物体移动需要多个玩家协调抓点、方向或节奏。,条件依赖,人数；抓取距离；物体碰撞和移动速度,协商路径并协调转弯,原文仅称合作类游戏,搬运路线应提供能体现协作的转角和间隙；失败后要容易重新抓取。,关卡机制2.md #172 双人搬运,,删除原文《死亡搁浅》作为同步双人搬运的例子；具体合作作品待补。
LM-132,多人合作机关,分路协作与交叉支援,合作解谜；合作动作；合作生存,队员进入不同路线，通过跨区机关互相开放通路并最终汇合。,条件依赖,两侧各自的能力；联动机关条件,沟通状态和切换操作顺序,《Portal 2》；《双人成行》,每条路线都需持续参与感；关键信息和状态反馈必须能跨区传达。,关卡机制2.md #175 分路,,
LM-133,多人合作机关,信息分离机关,合作解谜；合作动作；合作生存,操作方与掌握规则的一方看到不同信息，必须交流才能解除装置。,无,分屏或独立信息界面；装置交互,准确描述信息并核对指令,《Keep Talking and Nobody Explodes》,难点应来自有组织的沟通；颜色、术语和方位要避免非设计性的歧义。,关卡机制2.md #176 信息分离,,
LM-134,多人合作机关,合作连锁装置,合作解谜；合作动作；合作生存,一人的操作生成另一人的下一步条件，按顺序共同完成通路。,条件依赖,角色对应的机关交互能力,交接任务并确认前置状态,《双人成行》,将角色差异落到具体装置；失败应能从合理节点重试，避免全队长距离返工。,关卡机制2.md #177 角色能力互补；关卡机制2.md #179 连锁操作,,原文角色互补例子较泛，采用连锁装置条目的《双人成行》。
LM-135,多人合作机关,集合撤离目标,合作解谜；合作动作；合作生存,完成前置目标后队伍需到达撤离位置，并应对抵达前后的空间压力。,条件依赖,团队人数条件；移动与防守能力,分配掩护并协调到达时间,《求生之路》,明确何时可撤、谁必须到位；目标区的入口和等待空间决定最后阶段压力。,关卡机制2.md #180 团队撤离,,
LM-136,策略与战棋地图规则,地形移动与防御修正,RTS；战棋；策略,格子或区域材质改变单位通过成本、防御或可用动作。,是,单位移动类型；移动点；地形适应规则,选择站位并估算行动范围,《火焰纹章》；《三国志曹操传》,依赖的是单位性能而非玩家反应；地形收益必须能在选择路线前读取。,关卡机制1.md 地形系统,,
